,Unnamed: 0,woodyrip_class,pointid,near_woody
147,147,Quercus lobata,747804,411.959056907
148,148,Quercus lobata,747805,435.863206275
149,149,Quercus lobata,747806,459.311446584
150,150,Quercus lobata,747807,482.506434115
151,151,Quercus lobata,747808,506.41673844900004
152,152,Quercus lobata,747809,530.94572883
153,153,Quercus lobata,747810,556.011529523
154,154,Quercus lobata,747811,581.544731715
155,155,Quercus lobata,747812,607.4864022859999
156,156,Quercus lobata,747813,633.786385908
157,157,Quercus lobata,747814,660.401875368
158,158,Quercus lobata,747815,687.2962177710001
159,159,Quercus lobata,747816,714.4379223999999
160,160,Quercus lobata,747817,741.799837553
161,161,Quercus lobata,747916,409.270969612
162,162,Quercus lobata,747917,431.24145970300003
163,163,Quercus lobata,747918,454.131772268
164,164,Quercus lobata,747919,477.809728414
165,165,Quercus lobata,747920,501.619864999
166,166,Quercus lobata,747921,524.6598354930001
167,167,Quercus lobata,747922,548.373410152
168,168,Quercus lobata,747923,572.676916735
169,169,Quercus lobata,747924,597.498372369
170,170,Quercus lobata,747925,622.775849694
171,171,Quercus lobata,747926,648.45602238
172,172,Quercus lobata,747927,674.4928961730001
173,173,Quercus lobata,747928,700.846717165
174,174,Quercus lobata,747929,727.483041013
175,175,Quercus lobata,747930,754.3719434019999
176,176,Quercus lobata,747931,781.48735304
177,177,Quercus lobata,747932,808.8064891939999
178,178,Quercus lobata,748032,473.59750694400003
179,179,Quercus lobata,748033,496.347729488
180,180,Quercus lobata,748034,519.834145251
181,181,Quercus lobata,748035,543.946663728
182,182,Quercus lobata,748036,566.853973226
183,183,Quercus lobata,748037,590.397223031
184,184,Quercus lobata,748038,614.503323819
185,185,Quercus lobata,748039,639.108589336
186,186,Quercus lobata,748040,664.157543782
187,187,Quercus lobata,748041,689.6018394619999
188,188,Quercus lobata,748042,715.3992947739999
189,189,Quercus lobata,748043,741.513051107
190,190,Quercus lobata,748044,767.910840523
191,191,Quercus lobata,748045,794.564354198
192,192,Quercus lobata,748046,821.448700141
193,193,Quercus lobata,748047,848.541938267
194,194,Quercus lobata,748048,875.824682778
195,195,Quercus lobata,748149,515.965115651
196,196,Quercus lobata,748150,538.596760637
197,197,Quercus lobata,748151,561.9189804480001
198,198,Quercus lobata,748152,585.849307048
199,199,Quercus lobata,748153,609.080381364
200,200,Quercus lobata,748154,632.4747939519999
201,201,Quercus lobata,748155,656.406748109
202,202,Quercus lobata,748156,680.819559768
203,203,Quercus lobata,748157,705.663324106
204,204,Quercus lobata,748158,730.8940969539999
205,205,Quercus lobata,748159,756.473155481
206,206,Quercus lobata,748160,782.3663393789999
207,207,Quercus lobata,748161,808.5434700510001
208,208,Quercus lobata,748162,834.977842199
209,209,Quercus lobata,748163,861.645780467
210,210,Quercus lobata,748164,888.526254515
211,211,Quercus lobata,748165,915.600545523
212,212,Quercus lobata,748166,942.851957097
213,213,Quercus lobata,748268,580.871648978
214,214,Quercus lobata,748269,604.051605881
215,215,Quercus lobata,748270,627.809535263
216,216,Quercus lobata,748271,651.332783593
217,217,Quercus lobata,748272,674.596063553
218,218,Quercus lobata,748273,698.373326353
219,219,Quercus lobata,748274,722.613836698
220,220,Quercus lobata,748275,747.272514523
221,221,Quercus lobata,748276,772.309306535
222,222,Quercus lobata,748277,797.688610293
223,223,Quercus lobata,748278,823.378754257
224,224,Quercus lobata,748279,849.351533207
225,225,Quercus lobata,748280,875.58179572
226,226,Quercus lobata,748281,902.047080235
227,227,Quercus lobata,748282,928.72729526
228,228,Quercus lobata,748283,955.6044385619999
229,229,Quercus lobata,748284,982.6623514519999
230,230,Quercus lobata,748285,1009.886504
231,231,Quercus lobata,748388,646.222674137
232,232,Quercus lobata,748389,669.8284964019999
233,233,Quercus lobata,748390,693.606429441
234,234,Quercus lobata,748391,716.753327835
235,235,Quercus lobata,748392,740.392319645
236,236,Quercus lobata,748393,764.47775701
237,237,Quercus lobata,748394,788.96875411
238,238,Quercus lobata,748395,813.828697573
239,239,Quercus lobata,748396,839.024792818
240,240,Quercus lobata,748397,864.527649623
241,241,Quercus lobata,748398,890.3109069289999
242,242,Quercus lobata,748399,916.350896198
243,243,Quercus lobata,748400,942.626341114
244,244,Quercus lobata,748401,969.118090328
245,245,Quercus lobata,748402,995.808880741
246,246,Quercus lobata,748403,1022.68312833
247,247,Quercus lobata,748404,1049.72674302
248,248,Quercus lobata,748405,1076.92696547
249,249,Quercus lobata,748507,688.425120542
250,250,Quercus lobata,748508,711.895790526
251,251,Quercus lobata,748509,735.841074261
252,252,Quercus lobata,748510,758.9405885760001
253,253,Quercus lobata,748511,782.455283682
254,254,Quercus lobata,748512,806.400474307
255,255,Quercus lobata,748513,830.738935522
256,256,Quercus lobata,748514,855.43710053
257,257,Quercus lobata,748515,880.4646994410001
258,258,Quercus lobata,748516,905.7944253510001
259,259,Quercus lobata,748517,931.4016292460001
260,260,Quercus lobata,748518,957.2640434919999
261,261,Quercus lobata,748519,983.361532195
262,262,Quercus lobata,748520,1009.67586728
263,263,Quercus lobata,748521,1036.19052831
264,264,Quercus lobata,748522,1062.89052353
265,265,Quercus lobata,748523,1089.76223047
266,266,Quercus lobata,748524,1116.79325435
267,267,Quercus lobata,748525,1143.97230168
268,268,Quercus lobata,748526,1171.28906806
269,269,Quercus lobata,748628,754.003327955
270,270,Quercus lobata,748629,777.809416628
271,271,Quercus lobata,748630,801.153107065
272,272,Quercus lobata,748631,824.555489316
273,273,Quercus lobata,748632,848.3732722039999
274,274,Quercus lobata,748633,872.57243995
275,275,Quercus lobata,748634,897.12213046
276,276,Quercus lobata,748635,921.99434434
277,277,Quercus lobata,748636,947.163673797
278,278,Quercus lobata,748637,972.607052699
279,279,Quercus lobata,748638,998.30352749
280,280,Quercus lobata,748639,1024.23404892
281,281,Quercus lobata,748640,1050.38128361
282,282,Quercus lobata,748641,1076.72944373
283,283,Quercus lobata,748642,1103.26413381
284,284,Quercus lobata,748643,1129.97221336
285,285,Quercus lobata,748644,1156.84167327
286,286,Quercus lobata,748645,1183.86152525
287,287,Quercus lobata,748646,1211.02170293
288,288,Quercus lobata,748647,1238.31297296
289,289,Quercus lobata,748748,796.1447234
290,290,Quercus lobata,748749,819.824914582
291,291,Quercus lobata,748750,843.38709082
292,292,Quercus lobata,748751,866.687509425
293,293,Quercus lobata,748752,890.389068308
