cwhr_id,whr13_code,habitat_suitability
R093,13,0.33
B282,1,0.676734693877551
M023,2,0.183333333333333
R061,6,1
M006,1052,0.33
B226,1040,0.333333333333333
B116,4,0.385
B344,1037,0.333333333333333
B411,13,1
B124,8,0.553333333333333
B425,1042,0.44
B272,8,0.66
M076,1063,0.11
M153,3,0.256666666666667
B544,1023,0.22
B339,13,0.553333333333333
B323,1023,0.515555555555556
B109,9,0.11
B267,8,1
B375,8,0.22
M118,4,0.886666666666667
B333,1037,0.333333333333333
M026,8,0.276666666666667
B276,8,0.773333333333333
B125,1052,0.33
B169,9,0.666666666666667
R051,1063,0.33
B341,1052,0.22
B321,1043,0.44
B552,1,1
R058,1063,0.66
B527,1037,0.22
R037,6,0.33
M047,1039,0.663333333333333
B263,1,0.841287878787879
R004,9,1
M128,4,0.495
B294,4,0.256666666666667
M032,1043,0.22
M165,1043,0.11
B059,8,0.22
B282,11,0.888095238095238
B494,1037,0.44
B318,4,0.553333333333333
M142,1049,0.33
B358,1042,0.33
B521,4,0.385
B299,11,0.606190476190476
M158,6,1
B510,1063,0.44
B281,1040,0.11
B535,2,0.44
M081,2,1
B303,2,0.886666666666667
B426,12,0.22
B254,1049,0.55
M174,6,1
B173,9,0.666666666666667
B137,5,0.666666666666667
A046,1043,0.33
B239,5,0.666666666666667
B110,9,0.276666666666667
B128,9,0.276666666666667
M157,1037,0.44
B430,1042,0.44
M072,6,0.66
B086,3,0.553333333333333
M152,8,0.66
M113,8,0.66
R006,1,0.33
M025,8,0.83
B233,11,0.44
M045,1042,0.33
B545,1034,0.22
B250,3,0.333333333333333
B053,13,0.666666666666667
A031,3,0.22
B253,1049,0.663333333333333
B165,1023,0.33
A026,2,0.666666666666667
B263,11,1
A005,2,1
B133,4,0.33
B648,1052,0.22
B649,5,0.666666666666667
M119,11,0.904285714285714
B773,1042,0.22
B352,1034,0.333333333333333
B298,2,0.886666666666667
B107,9,0.628888888888889
B319,12,0.33
B260,1049,0.22
M159,5,0.11
A029,1,0.275
R039,4,0.66
B326,13,0.886666666666667
R055,4,0.551666666666667
M085,1023,1
M134,4,0.495
M153,1042,0.11
B343,1039,0.773333333333333
B533,12,1
B344,1043,0.333333333333333
M031,13,0.333333333333333
R015,13,0.33
B504,2,0.886666666666667
B407,8,0.553333333333333
B264,1023,0.333333333333333
M136,1040,0.773333333333333
B265,1023,0.295555555555556
M182,3,0.886666666666667
B149,1023,0.775555555555556
M163,2,0.66
B333,1043,0.11
R024,1023,0.33
A027,9,0.66
B798,1,0.22
M052,4,0.66
M166,1034,0.22
B126,1052,0.33
B512,6,0.22
B546,4,0.11
B127,8,1
B123,8,1
M051,12,0.888333333333333
B151,1023,0.555
B309,4,0.33
B133,3,1
B809,13,0.22
R050,8,0.33
B087,3,1
B197,1040,0.666666666666667
B109,11,0.798222222222222
B235,1034,0.443333333333333
M077,1043,0.33
B172,3,0.666666666666667
A032,1063,0.33
M122,1,0.33
A025,4,0.665
M100,12,0.773333333333333
B196,1052,0.11
R004,11,0.884857142857143
B340,2,0.703333333333333
M033,2,0.66
B351,1042,0.333333333333333
M161,2,1
M087,11,1
R043,11,0.424285714285714
B273,1,0.22
B119,6,0.258888888888889
R006,9,0.33
B499,1043,0.22
M126,1,0.665
B521,3,1
R075,12,0.745
B362,11,0.904285714285714
R021,12,0.55
R030,12,1
B074,1052,0.22
B110,1,0.761309523809524
B144,1023,0.776666666666667
B128,1,0.425061728395062
M130,2,0.66
B200,12,0.22
B269,8,1
B294,1042,0.55
B702,6,0.183333333333333
R060,1,0.33
B380,1023,0.22
B134,2,0.366666666666667
B085,3,0.776666666666667
A029,9,0.72
M150,9,0.11
M052,3,0.33
M176,1,0.490285714285714
B497,12,1
R073,8,0.33
R045,8,0.33
B311,1,0.890969387755102
R029,12,0.66
M182,4,0.886666666666667
B353,1039,0.333333333333333
A042,6,0.83
B113,1052,0.11
B864,1034,0.776666666666667
B116,1042,0.776666666666667
R078,11,0.582857142857143
B425,4,0.831666666666667
M154,11,1
M151,1063,0.146666666666667
R055,3,0.33
M134,3,0.886666666666667
B002,9,0.443333333333333
B114,6,1
M162,1040,0.443333333333333
R039,3,0.33
B367,11,0.773333333333333
M023,1034,0.22
R057,1039,0.33
M160,6,0.33
M029,1039,0.11
B514,1023,0.22
B477,1042,0.44
M069,1,0.33
M147,1,0.341111111111111
M015,2,0.83
B337,6,0.666666666666667
B377,2,0.66
M083,1,0.458163265306123
R075,5,0.33
R030,5,1
B164,1023,0.588888888888889
B499,1052,0.22
B381,2,1
M184,3,0.165
B277,4,0.71
B138,1023,0.22
B520,1034,0.333333333333333
M177,4,0.752
M117,1037,0.66
B340,13,0.555
M161,13,1
B227,6,0.44
M070,1040,0.663333333333333
R033,1,0.33
B519,1052,0.773333333333333
M144,1,1
A049,6,0.33
B262,8,0.495
M038,1034,0.333333333333333
R029,1063,0.33
B522,3,0.22
A028,1037,0.33
M140,1049,0.33
M010,6,0.66
B105,11,1
B399,8,0.66
M037,8,0.11
B524,11,0.692380952380953
M104,3,0.55
M148,1034,0.553333333333333
B501,1023,0.33
B163,1034,0.663333333333333
B430,1023,0.22
B435,1040,0.11
B809,2,0.33
A012,11,0.836285714285714
M045,1023,0.690833333333333
A007,2,0.66
B505,11,0.444571428571429
B489,11,0.792857142857143
B528,1034,0.333333333333333
A037,1040,0.33
B052,1037,0.666666666666667
B191,1034,0.666666666666667
M030,1040,0.11
R057,6,0.495
B275,1040,0.333333333333333
M160,1039,0.44
M029,6,0.146666666666667
B411,1034,0.333333333333333
B385,11,0.504285714285714
B339,1034,0.333333333333333
B108,6,1
A058,2,1
B140,1049,0.776666666666667
B544,3,0.333333333333333
M153,1023,0.3025
M085,1042,1
B377,13,1
B264,1042,0.44
M121,2,0.33
A032,12,0.55
B323,3,0.666666666666667
B342,1037,0.22
B265,1042,0.33
R024,1042,0.33
M146,1037,0.44
M043,2,0.11
B495,8,0.55
B506,11,0.251428571428571
A035,8,0.33
R080,11,0.630952380952381
B496,13,1
R041,13,0.665
B369,2,0.886666666666667
A016,11,0.951428571428571
B547,1040,0.22
B053,2,0.22
R069,1,0.66
B080,1052,0.44
B799,1052,0.11
B072,1052,0.33
B255,1049,1
B231,5,0.333333333333333
R036,1,0.657160493827161
A046,1052,0.66
B241,5,0.666666666666667
B343,6,0.773333333333333
M112,11,0.484666666666667
M028,1040,0.22
M104,4,0.773333333333333
R053,1,0.33
B103,1052,0.22
B115,6,0.22
B185,6,0.666666666666667
B293,1052,0.11
B537,4,0.11
B351,1023,0.295555555555556
B525,9,0.11
B137,12,0.22
R022,6,0.33
M097,12,1
B051,8,0.44
M002,6,1
M042,1049,0.22
M032,1052,0.22
B277,3,0.22
M177,3,0.405555555555556
M175,1023,0.443333333333333
M081,13,0.44
M155,1,1
B393,13,0.553333333333333
M184,4,0.33
M051,1063,0.626666666666667
B094,6,0.665555555555556
B389,6,0.333333333333333
B390,2,0.553333333333333
B510,12,0.385
B076,1040,0.443333333333333
M141,2,0.66
B079,1023,0.813333333333333
B380,1042,0.33
M163,13,0.33
B426,1063,0.22
B333,1052,0.66
B131,8,1
B509,8,0.22
B296,2,0.886666666666667
B341,1037,0.22
B538,8,0.66
B323,4,0.757777777777778
B344,1052,0.333333333333333
M233,1,0.893142857142857
B326,2,1
A030,9,0.33
B116,1023,0.258888888888889
M016,1023,0.5775
M072,1039,0.773333333333333
B544,4,0.55
B298,13,0.22
A034,3,0.22
M080,11,0.988666666666667
B331,1034,0.22
M031,2,0.11
M234,8,1
B372,1023,0.33
M030,1063,0.146666666666667
M162,12,0.66
B386,1042,0.44
B215,1039,0.666666666666667
B275,1063,0.258888888888889
B629,1034,0.22
B436,1,0.449375
A043,3,0.33
B400,12,1
A010,11,1
B491,6,0.22
M149,1,0.92198347107438
B377,8,0.66
B141,1,0.883313609467456
A037,1063,0.33
B126,3,0.553333333333333
M075,1,0.995277777777778
B435,1063,0.44
M055,11,1
B267,1034,0.333333333333333
B512,11,0.951428571428571
B124,1034,0.333333333333333
B308,2,0.495
B272,1034,0.333333333333333
B148,6,1
B102,9,0.441666666666667
B514,1037,0.22
A035,13,0.33
B806,12,1
R011,12,0.665
B288,11,0.33
M018,1049,0.44
B276,1034,0.333333333333333
R041,8,0.33
M026,1034,0.11
M066,6,0.773333333333333
B536,1042,0.22
B113,4,0.11
B551,11,1
B077,1023,0.366666666666667
A002,9,1
M001,1049,0.33
B399,13,1
B086,1052,0.44
M070,5,0.33
M037,13,0.22
M115,12,0.83
B043,4,0.44
B547,1063,0.44
B262,13,0.74
B250,1052,0.22
B200,1040,0.776666666666667
M127,3,0.11
B304,11,0.792571428571429
B539,11,0.22
B050,1023,0.33
M107,4,0.745
B233,6,0.55
B340,8,0.11
M033,8,0.385
M161,8,1
R037,1,0.429
B360,11,0.884857142857143
M072,11,0.902857142857143
M177,1043,0.22
A004,9,0.665
B476,1034,0.553333333333333
M174,11,0.33
B067,1023,0.61
M158,11,1
M030,5,0.22
M133,4,0.596
B275,5,1
R074,4,0.396
