gridcode30,carbrate_30,landcover30
320,11.0704999,Orchard
321,7.687476134,Grassland
322,7.347482792,Grassland
323,9.799968101,Grassland
324,7.687476134,Grassland
325,41.8897838,Forest
326,32.5638411,Shrubland
327,7.687476134,Grassland
328,5.673808898,Grassland
329,5.673808898,Grassland
330,11.0704999,Orchard
331,7.687476134,Grassland
332,7.687476134,Grassland
333,11.0704999,Orchard
334,32.5638411,Shrubland
335,5.673808898,Grassland
336,5.673808898,Grassland
337,33.60364026,Forest
338,36.81211328,Forest
339,11.0704999,Orchard
340,7.687476134,Grassland
341,6.573344061,Shrubland
342,4.975872611,Shrubland
343,48.73984874,Forest
344,37.13345957,Forest
345,5.673808898,Grassland
346,7.687476134,Grassland
347,6.795743932,Shrubland
348,7.347482792,Grassland
349,34.16350134,Forest
350,11.0704999,Orchard
351,39.6533334,Forest
352,35.44589258,Forest
353,49.28773418,Forest
354,5.673808898,Grassland
355,7.188621526,Shrubland
356,11.0704999,Orchard
358,43.68113965,Forest
359,55.24661206,Forest
360,37.43784036,Forest
361,5.673808898,Grassland
362,40.35690213,Forest
363,32.24019304,Shrubland
364,5.673808898,Grassland
365,38.09749843,Forest
366,47.89257235,Forest
367,9.799968101,Grassland
368,7.347482792,Grassland
369,41.83888733,Forest
370,7.687476134,Grassland
371,5.673808898,Grassland
372,11.0704999,Orchard
373,11.0704999,Orchard
374,5.673808898,Grassland
375,7.347482792,Grassland
376,30.64185622,Shrubland
377,47.28680466,Forest
378,5.591150076,Shrubland
379,11.0704999,Orchard
380,11.0704999,Orchard
381,50.10906335,Forest
382,7.687476134,Grassland
383,11.0704999,Orchard
384,3.399830212,Barren
385,5.204875692,Urban
386,5.203464697,Shrubland
387,50.58210105,Forest
388,7.347482792,Grassland
389,11.0704999,Orchard
390,5.204875692,Urban
391,7.347482792,Grassland
392,32.5638411,Shrubland
393,7.687476134,Grassland
394,47.44548186,Forest
395,46.62415269,Forest
396,7.687476134,Grassland
397,5.673808898,Grassland
398,5.673808898,Grassland
399,6.570340955,Urban
400,5.673808898,Grassland
401,5.673808898,Grassland
402,5.673808898,Grassland
403,3.028672221,Water
404,5.673808898,Grassland
405,11.0704999,Orchard
406,7.687476134,Grassland
407,48.83964572,Forest
408,5.673808898,Grassland
409,11.0704999,Orchard
410,7.347482792,Grassland
411,7.347482792,Grassland
412,7.347482792,Grassland
413,11.0704999,Orchard
414,7.347482792,Grassland
415,7.347482792,Grassland
416,5.673808898,Grassland
417,50.95633974,Forest
418,11.0704999,Orchard
419,11.0704999,Orchard
420,5.673808898,Grassland
421,5.673808898,Grassland
422,49.50329566,Forest
423,6.795743932,Shrubland
424,5.673808898,Grassland
425,11.0704999,Orchard
426,11.0704999,Orchard
427,11.0704999,Orchard
428,40.96466576,Forest
429,11.0704999,Orchard
430,11.0704999,Orchard
431,5.673808898,Grassland
432,7.347482792,Grassland
433,7.687476134,Grassland
434,7.687476134,Grassland
435,57.46210509,Forest
436,33.88207384,Forest
437,12.55921339,Orchard
438,12.55921339,Orchard
439,5.673808898,Grassland
440,7.687476134,Grassland
441,12.55921339,Orchard
442,12.55921339,Orchard
443,6.33979189,Urban
444,4.53474641,Barren
445,11.0704999,Orchard
446,12.55921339,Orchard
447,12.55921339,Orchard
448,7.687476134,Grassland
449,7.347482792,Grassland
450,11.0704999,Orchard
451,5.673808898,Grassland
452,12.55921339,Orchard
453,54.27159553,Forest
454,9.383050384,Orchard
455,7.687476134,Grassland
456,7.687476134,Grassland
457,5.673808898,Grassland
458,11.0704999,Orchard
459,7.687476134,Grassland
460,11.0704999,Orchard
461,7.687476134,Grassland
462,41.51654308,Forest
463,11.0704999,Orchard
464,5.673808898,Grassland
465,5.673808898,Grassland
466,7.687476134,Grassland
467,11.0704999,Orchard
468,11.0704999,Orchard
469,11.0704999,Orchard
470,5.673808898,Grassland
471,11.0704999,Orchard
472,11.0704999,Orchard
473,12.55921339,Orchard
474,5.673808898,Grassland
475,7.687476134,Grassland
476,7.347482792,Grassland
477,11.0704999,Orchard
478,12.55921339,Orchard
479,12.55921339,Orchard
480,11.0704999,Orchard
481,11.0704999,Orchard
482,5.673808898,Grassland
483,7.347482792,Grassland
484,7.347482792,Grassland
485,12.55921339,Orchard
486,12.55921339,Orchard
487,11.0704999,Orchard
488,7.687476134,Grassland
489,5.673808898,Grassland
490,5.673808898,Grassland
491,5.673808898,Grassland
492,5.673808898,Grassland
493,7.687476134,Grassland
494,11.0704999,Orchard
495,7.687476134,Grassland
496,11.0704999,Orchard
497,9.383050384,Orchard
498,9.383050384,Orchard
499,6.795743932,Shrubland
500,12.55921339,Orchard
501,11.0704999,Orchard
502,12.55921339,Orchard
503,12.55921339,Orchard
504,11.0704999,Orchard
505,11.0704999,Orchard
507,11.0704999,Orchard
508,38.72921333,Forest
509,12.55921339,Orchard
510,7.687476134,Grassland
511,11.0704999,Orchard
512,12.55921339,Orchard
513,6.570340955,Urban
514,11.0704999,Orchard
515,9.383050384,Orchard
516,9.383050384,Orchard
517,7.687476134,Grassland
518,7.687476134,Grassland
519,5.673808898,Grassland
520,9.383050384,Orchard
522,11.0704999,Orchard
523,11.0704999,Orchard
524,11.0704999,Orchard
525,11.0704999,Orchard
526,5.673808898,Grassland
527,7.687476134,Grassland
528,7.687476134,Grassland
529,34.58015122,Shrubland
530,12.55921339,Orchard
531,11.0704999,Orchard
532,7.687476134,Grassland
533,49.66197287,Forest
534,12.55921339,Orchard
535,12.55921339,Orchard
536,11.0704999,Orchard
537,7.687476134,Grassland
538,11.0704999,Orchard
539,12.55921339,Orchard
540,11.0704999,Orchard
541,11.0704999,Orchard
542,11.0704999,Orchard
543,32.5638411,Shrubland
544,7.687476134,Grassland
545,11.0704999,Orchard
546,11.0704999,Orchard
547,11.0704999,Orchard
548,11.0704999,Orchard
549,11.0704999,Orchard
550,11.0704999,Orchard
551,11.0704999,Orchard
552,11.0704999,Orchard
553,11.0704999,Orchard
554,7.687476134,Grassland
555,5.673808898,Grassland
556,11.0704999,Orchard
557,5.673808898,Grassland
558,5.673808898,Grassland
559,11.0704999,Orchard
560,6.255064597,Annual Cropland
561,6.255064597,Annual Cropland
562,7.687476134,Grassland
563,11.0704999,Orchard
564,29.88819857,Forest
565,6.255064597,Annual Cropland
566,11.0704999,Orchard
567,6.255064597,Annual Cropland
568,7.687476134,Grassland
569,9.799968101,Grassland
570,6.255064597,Annual Cropland
571,59.30335943,Forest
572,12.55921339,Orchard
573,11.0704999,Orchard
574,7.687476134,Grassland
575,6.255064597,Annual Cropland
576,11.0704999,Orchard
577,11.0704999,Orchard
578,6.570340955,Urban
579,11.0704999,Orchard
580,11.0704999,Orchard
581,7.687476134,Grassland
582,48.42948012,Forest
583,7.652849125,Wetland
584,11.0704999,Orchard
585,7.687476134,Grassland
586,11.0704999,Orchard
587,6.255064597,Annual Cropland
588,11.0704999,Orchard
589,11.0704999,Orchard
590,7.687476134,Grassland
591,6.255064597,Annual Cropland
592,6.255064597,Annual Cropland
593,48.68396243,Forest
595,6.255064597,Annual Cropland
596,7.687476134,Grassland
597,12.55921339,Orchard
598,6.255064597,Annual Cropland
599,6.255064597,Annual Cropland
600,6.570340955,Urban
602,5.673808898,Grassland
603,5.673808898,Grassland
604,5.673808898,Grassland
605,5.172872475,Irrigated Pasture
606,5.172872475,Irrigated Pasture
607,12.55921339,Orchard
608,11.0704999,Orchard
609,7.687476134,Grassland
610,6.255064597,Annual Cropland
611,6.255064597,Annual Cropland
612,7.687476134,Grassland
613,6.251093224,Vineyard
614,6.255064597,Annual Cropland
615,6.251093224,Vineyard
616,5.172872475,Irrigated Pasture
617,5.172872475,Irrigated Pasture
618,7.687476134,Grassland
619,7.687476134,Grassland
620,6.255064597,Annual Cropland
621,7.687476134,Grassland
622,7.652849125,Wetland
623,6.255064597,Annual Cropland
624,7.652849125,Wetland
625,6.255064597,Annual Cropland
626,12.55921339,Orchard
627,7.687476134,Grassland
628,6.255064597,Annual Cropland
629,9.799968101,Grassland
630,6.972279239,Shrubland
631,12.55921339,Orchard
632,11.0704999,Orchard
633,7.687476134,Grassland
634,7.687476134,Grassland
635,7.690495436,Vineyard
636,11.0704999,Orchard
637,6.570340955,Urban
638,7.652849125,Wetland
639,6.255064597,Annual Cropland
640,5.172872475,Irrigated Pasture
641,40.35690213,Forest
642,12.55921339,Orchard
643,6.255064597,Annual Cropland
644,9.799968101,Grassland
645,6.255064597,Annual Cropland
646,7.687476134,Grassland
647,5.673808898,Grassland
648,7.687476134,Grassland
649,7.347482792,Grassland
650,9.799968101,Grassland
651,9.501753263,Shrubland
652,6.570340955,Urban
653,7.347482792,Grassland
654,7.687476134,Grassland
655,7.347482792,Grassland
656,43.75798333,Forest
