"Landcover_Class","EVT_Nick","EVC_Name","EVH_Name","SumCO2_ha","SumCO2total","Area_Ha","SumCO2_nonsoil","SumCO2_soil","SumCO2_emissions","OID","CO2e_nonsoil","CO2e_soil","N2O_emissions","CH4_emissions"
"Grassland","Grassland","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",84.79,2441.96,28.80,211.39,2232.29,-1.72,1157,7.34,77.51,-0.06,0.00
"Orchard","Orchard","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",103.87,1514.46,14.58,913.92,629.26,-28.72,3141,62.68,43.15,-1.97,0.00
"Urban","Developed","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",84.66,45.72,0.54,15.85,29.86,0.00,3859,29.36,55.30,0.00,0.00
"Grassland","Grassland","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",62.58,16.89,0.27,1.98,14.93,-0.01,2590,7.34,55.30,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",108.09,1118.78,10.35,75.96,1043.43,-0.62,2393,7.34,100.81,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",62.58,687.20,10.98,80.59,607.26,-0.65,2605,7.34,55.30,-0.06,0.00
"Wetland","Wetland","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",62.60,33.80,0.54,5.94,29.86,-2.00,5469,11.01,55.30,0.00,-3.70
"Wetland","Wetland","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",108.11,5128.00,47.43,522.20,4781.65,-175.84,3967,11.01,100.81,0.00,-3.70
"Irrigated Pasture","Irrigated Pasture","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",45.77,32.95,0.72,7.92,26.79,-1.76,2648,11.01,37.21,-2.45,0.00
"Urban","Developed","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",106.87,28.85,0.27,7.92,20.92,0.00,2784,29.36,77.51,0.00,0.00
"Annual Cropland","Annual Cropland","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",50.65,31.91,0.63,4.62,28.90,-1.61,3208,7.34,45.88,-2.57,0.00
"Vineyard","Vineyard","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",52.89,147.56,2.79,29.69,120.41,-2.53,3352,10.64,43.15,-0.91,0.00
"Irrigated Pasture","Irrigated Pasture","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",45.77,1919.75,41.94,461.75,1560.74,-102.75,2625,11.01,37.21,-2.45,0.00
"Orchard","Orchard","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",103.87,18.69,0.18,11.28,7.76,-0.35,5445,62.68,43.15,-1.97,0.00
"Vineyard","Vineyard","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",88.05,31.69,0.36,3.83,28.19,-0.32,3325,10.64,78.31,-0.91,0.00
"Annual Cropland","Annual Cropland","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",50.65,5151.53,101.70,746.47,4666.42,-261.36,2455,7.34,45.88,-2.57,0.00
"Wetland","Wetland","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",62.60,1228.39,19.62,216.01,1085.12,-72.74,3894,11.01,55.30,0.00,-3.70
"Vineyard","Vineyard","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",71.57,38.64,0.54,5.74,33.39,-0.49,2479,10.64,61.83,-0.91,0.00
"Wetland","Wetland","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",84.81,786.21,9.27,102.06,718.52,-34.36,4371,11.01,77.51,0.00,-3.70
"Grassland","Grassland","Tree Cover >= 40 and < 50%","Forest Height 0 to 5 meters",84.79,7.63,0.09,0.66,6.97,-5.39999987930059e-03,4511,7.34,77.51,-0.06,0.00
"Forest","California Montane Riparian Systems","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",425.77,2299.18,5.40,1880.62,418.55,0.00,7234,348.26,77.51,0.00,0.00
"Forest","California Montane Riparian Systems","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",403.57,108.96,0.27,94.03,14.93,0.00,7396,348.26,55.30,0.00,0.00
"Wetland","Wetland","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",108.11,9.73,0.09,0.99,9.07,-0.33,7248,11.01,100.81,0.00,-3.70
