"Landcover_Class","EVT_Nick","EVC_Name","EVH_Name","SumCO2_ha","SumCO2total","Area_Ha","SumCO2_nonsoil","SumCO2_soil","SumCO2_emissions","OID","CO2e_nonsoil","CO2e_soil","N2O_emissions","CH4_emissions"
"Annual Cropland","Annual Cropland","Tree Cover >= 80 and < 90%","Forest Height 10 to 25 meters",50.65,132.20,2.61,19.15,119.75,-6.70,3853,7.34,45.88,-2.57,0.00
"Vineyard","Vineyard","Tree Cover >= 80 and < 90%","Forest Height 10 to 25 meters",52.89,28.56,0.54,5.74,23.30,-0.49,5185,10.64,43.15,-0.91,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 80 and < 90%","Forest Height 10 to 25 meters",69.31,118.53,1.71,12.55,110.37,-4.39,4704,7.34,64.54,-2.57,0.00
"Orchard","Orchard","Tree Cover >= 80 and < 90%","Forest Height 10 to 25 meters",122.95,287.71,2.34,146.67,145.64,-4.60,4981,62.68,62.24,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 80 and < 90%","Forest Height 10 to 25 meters",139.03,675.69,4.86,304.64,380.62,-9.57,5056,62.68,78.31,-1.97,0.00
"Grassland","Grassland","Shrub Cover >= 30 and < 40%","Shrub Height > 3.0 meters",84.79,7.63,0.09,0.66,6.97,-5.39999987930059e-03,4251,7.34,77.51,-0.06,0.00
"Shrubland","Northern and Central California Dry-Mesic Chaparral","Shrub Cover >= 10 and < 20%","Shrub Height 0 to 0.5 meters",184.94,16.64,0.09,11.66,4.97,0.00,1441,129.64,55.30,0.00,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 10 and < 20%","Shrub Height 0 to 0.5 meters",69.31,18.71,0.27,1.98,17.42,-0.69,1039,7.34,64.54,-2.57,0.00
"Urban","Urban","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",106.87,19.23,0.18,5.28,13.95,0.00,6059,29.36,77.51,0.00,0.00
"Urban","Urban","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",106.87,9.61,0.09,2.64,6.97,0.00,5679,29.36,77.51,0.00,0.00
"Urban","Urban","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",106.87,9.61,0.09,2.64,6.97,0.00,6090,29.36,77.51,0.00,0.00
"Urban","Developed","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",103.12,9.28,0.09,2.64,6.63,0.00,6368,29.36,73.76,0.00,0.00
"Urban","Urban","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",130.17,11.71,0.09,2.64,9.07,0.00,5683,29.36,100.81,0.00,0.00
"Vineyard","Vineyard","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",71.57,2396.24,33.48,356.32,2070.38,-30.46,1164,10.64,61.83,-0.91,0.00
"Orchard","Orchard","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",122.55,67027.96,546.93,34283.54,33821.87,-1077.45,155,62.68,61.83,-1.97,0.00
"Urban","Developed","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",84.66,7.62,0.09,2.64,4.97,0.00,3455,29.36,55.30,0.00,0.00
"Grassland","Grassland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",62.58,4264.04,68.13,500.07,3768.05,-4.08,198,7.34,55.30,-0.06,0.00
"Grassland","Grassland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",62.58,21652.56,345.96,2539.34,19133.97,-20.75,21,7.34,55.30,-0.06,0.00
"Orchard","Orchard","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",103.87,84.13,0.81,50.77,34.95,-1.59,3984,62.68,43.15,-1.97,0.00
"Orchard","Orchard","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",103.87,579.61,5.58,349.77,240.82,-10.99,1847,62.68,43.15,-1.97,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",69.31,13799.39,199.08,1461.24,12849.78,-511.63,470,7.34,64.54,-2.57,0.00
"Irrigated Pasture","Irrigated Pasture","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",52.52,14.18,0.27,2.97,11.87,-0.66,1583,11.01,43.96,-2.45,0.00
"Irrigated Pasture","Irrigated Pasture","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",45.77,28.83,0.63,6.93,23.44,-1.54,815,11.01,37.21,-2.45,0.00
"Wetland","Wetland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",81.06,21.88,0.27,2.97,19.91,-1.00,3981,11.01,73.76,0.00,-3.70
"Annual Cropland","Annual Cropland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",50.65,77.50,1.53,11.23,70.20,-3.93,1846,7.34,45.88,-2.57,0.00
"Shrubland","Northern and Central California Dry-Mesic Chaparral","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",354.09,7744.16,21.87,6534.60,1209.56,0.00,35,298.79,55.30,0.00,0.00
"Grassland","Grassland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",108.09,12608.18,116.64,856.13,11759.04,-6.99,83,7.34,100.81,-0.06,0.00
"Orchard","Orchard","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",122.95,1449.66,11.79,739.03,733.84,-23.22,733,62.68,62.24,-1.97,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",85.77,54.03,0.63,4.62,51.03,-1.61,1135,7.34,81.00,-2.57,0.00
"Shrubland","Northern and Central California Dry-Mesic Chaparral","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",372.56,7209.03,19.35,5781.64,1427.39,0.00,11,298.79,73.76,0.00,0.00
"Grassland","Grassland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",84.79,1403777.99,16555.86,121520.01,1283251.33,-993.35,2,7.34,77.51,-0.06,0.00
"Orchard","Orchard","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",139.03,600.61,4.32,270.79,338.33,-8.51,373,62.68,78.31,-1.97,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",69.71,269.81,3.87,28.40,251.35,-9.94,1554,7.34,64.94,-2.57,0.00
"Urban","Developed","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",106.87,38.47,0.36,10.56,27.90,0.00,537,29.36,77.51,0.00,0.00
"Shrubland","Northern and Central California Dry-Mesic Chaparral","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",376.30,82670.10,219.69,65641.84,17028.25,0.00,13,298.79,77.51,0.00,0.00
"Irrigated Pasture","Irrigated Pasture","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",62.65,225.56,3.60,39.63,194.74,-8.82,108,11.01,54.09,-2.45,0.00
"Wetland","Wetland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",62.60,67.61,1.08,11.89,59.73,-4.00,1934,11.01,55.30,0.00,-3.70
"Shrubland","Northern and Central California Dry-Mesic Chaparral","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",354.09,14850.95,41.94,12531.38,2319.57,0.00,276,298.79,55.30,0.00,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",50.65,18.23,0.36,2.64,16.51,-0.92,941,7.34,45.88,-2.57,0.00
"Grassland","Grassland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",81.04,92133.41,1136.79,8344.03,83857.58,-68.20,1,7.34,73.76,-0.06,0.00
"Shrubland","Northern and Central California Dry-Mesic Chaparral","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",399.60,683.32,1.71,510.93,172.39,0.00,429,298.79,100.81,0.00,0.00
"Wetland","Wetland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",84.81,213.72,2.52,27.74,195.32,-9.34,522,11.01,77.51,0.00,-3.70
"Vineyard","Vineyard","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",71.97,38.86,0.54,5.74,33.61,-0.49,1533,10.64,62.24,-0.91,0.00
"Irrigated Pasture","Irrigated Pasture","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",76.63,6.89,0.09,0.99,6.12,-0.22,3921,11.01,68.07,-2.45,0.00
"Irrigated Pasture","Irrigated Pasture","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",45.77,4.11,0.09,0.99,3.34,-0.22,3930,11.01,37.21,-2.45,0.00
"Vineyard","Vineyard","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",52.89,23.80,0.45,4.78,19.42,-0.40,3108,10.64,43.15,-0.91,0.00
"Urban","Urban","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",84.66,38.10,0.45,13.21,24.88,0.00,4700,29.36,55.30,0.00,0.00
"Urban","Urban","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",84.66,7.62,0.09,2.64,4.97,0.00,4603,29.36,55.30,0.00,0.00
"Wetland","Wetland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",108.11,535.18,4.95,54.49,499.03,-18.35,4346,11.01,100.81,0.00,-3.70
"Urban","Urban","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",84.66,7.62,0.09,2.64,4.97,0.00,4665,29.36,55.30,0.00,0.00
"Urban","Urban","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",84.66,45.72,0.54,15.85,29.86,0.00,4581,29.36,55.30,0.00,0.00
"Wetland","Wetland","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",62.60,11.26,0.18,1.98,9.95,-0.66,4247,11.01,55.30,0.00,-3.70
"Vineyard","Vineyard","Shrub Cover >= 40 and < 50%","Shrub Height 1.0 to 3.0 meters",88.05,23.77,0.27,2.87,21.14,-0.24,4411,10.64,78.31,-0.91,0.00
"Orchard","Orchard","Tree Cover >= 90 and <= 100%","Forest Height 10 to 25 meters",122.55,529.42,4.32,270.79,267.14,-8.51,7421,62.68,61.83,-1.97,0.00
"Forest","Mediterranean California Mixed Oak Woodland","Tree Cover >= 60 and < 70%","Forest Height 10 to 25 meters",672.43,484.14,0.72,428.34,55.80,0.00,6795,594.91,77.51,0.00,0.00
"Grassland","Grassland","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",84.79,7.63,0.09,0.66,6.97,-5.39999987930059e-03,7086,7.34,77.51,-0.06,0.00
"Wetland","Wetland","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",84.81,15.26,0.18,1.98,13.95,-0.66,7091,11.01,77.51,0.00,-3.70
"Annual Cropland","Annual Cropland","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",69.31,24.95,0.36,2.64,23.23,-0.92,7037,7.34,64.54,-2.57,0.00
"Orchard","Orchard","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",139.03,87.58,0.63,39.49,49.34,-1.24,7547,62.68,78.31,-1.97,0.00
"Wetland","Wetland","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",108.11,194.61,1.80,19.81,181.46,-6.67,6148,11.01,100.81,0.00,-3.70
"Orchard","Orchard","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",122.55,1389.75,11.34,710.83,701.25,-22.33,2298,62.68,61.83,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",122.95,77.46,0.63,39.49,39.21,-1.24,2297,62.68,62.24,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",103.87,486.12,4.68,293.35,201.98,-9.21,2999,62.68,43.15,-1.97,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",85.77,7.71,0.09,0.66,7.29,-0.23,3287,7.34,81.00,-2.57,0.00
"Grassland","Grassland","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",62.58,39.42,0.63,4.62,34.84,-0.03,2570,7.34,55.30,-0.06,0.00
"Vineyard","Vineyard","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",52.89,4.76,0.09,0.95,3.88,-0.08,3308,10.64,43.15,-0.91,0.00
"Urban","Developed","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",130.17,11.71,0.09,2.64,9.07,0.00,4429,29.36,100.81,0.00,0.00
"Wetland","Wetland","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",62.60,5.63,0.09,0.99,4.97,-0.33,5421,11.01,55.30,0.00,-3.70
"Grassland","Grassland","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",108.09,19.45,0.18,1.32,18.14,-0.01,3127,7.34,100.81,-0.06,0.00
"Orchard","Orchard","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",103.87,102.83,0.99,62.05,42.72,-1.95,2768,62.68,43.15,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",139.03,87.58,0.63,39.49,49.34,-1.24,2989,62.68,78.31,-1.97,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",50.65,13.67,0.27,1.98,12.38,-0.69,3763,7.34,45.88,-2.57,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 50 and < 60%","Forest Height 25 to 50 meters",76.63,6.89,0.09,0.99,6.12,-0.22,4430,11.01,68.07,-2.45,0.00
"Forest","California Lower Montane Foothill Pine Woodland and Savanna","Tree Cover >= 60 and < 70%","Forest Height 10 to 25 meters",609.52,1810.28,2.97,1580.07,230.20,0.00,7322,532.01,77.51,0.00,0.00
"Forest","California Lower Montane Foothill Pine Woodland and Savanna","Tree Cover >= 60 and < 70%","Forest Height 10 to 25 meters",587.31,3541.53,6.03,3208.03,333.50,0.00,7402,532.01,55.30,0.00,0.00
"Forest","California Lower Montane Foothill Pine Woodland and Savanna","Tree Cover >= 60 and < 70%","Forest Height 10 to 25 meters",599.09,53.91,0.09,46.94,6.97,0.00,3330,521.58,77.51,0.00,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 60 and < 70%","Forest Height 10 to 25 meters",62.65,5.63,0.09,0.99,4.86,-0.22,2672,11.01,54.09,-2.45,0.00
"Grassland","Grassland","Tree Cover >= 60 and < 70%","Forest Height 10 to 25 meters",84.79,7.63,0.09,0.66,6.97,-5.39999987930059e-03,3329,7.34,77.51,-0.06,0.00
"Forest","California Lower Montane Foothill Pine Woodland and Savanna","Tree Cover >= 60 and < 70%","Forest Height 10 to 25 meters",622.39,56.01,0.09,46.94,9.07,0.00,3781,521.58,100.81,0.00,0.00
"Forest","California Lower Montane Blue Oak-Foothill Pine Forest and Woodland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",489.69,44.07,0.09,37.43,6.63,0.00,6874,415.92,73.76,0.00,0.00
"Forest","California Lower Montane Blue Oak-Foothill Pine Forest and Woodland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",471.23,12002.38,25.47,10593.71,1408.66,0.00,6694,415.92,55.30,0.00,0.00
"Forest","California Lower Montane Blue Oak-Foothill Pine Forest and Woodland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",493.43,61018.73,123.66,51433.80,9584.93,0.00,6621,415.92,77.51,0.00,0.00
"Forest","California Lower Montane Blue Oak-Foothill Pine Forest and Woodland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",485.28,87.35,0.18,73.39,13.95,0.00,7533,407.77,77.51,0.00,0.00
"Grassland","Grassland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",84.79,7.63,0.09,0.66,6.97,-5.39999987930059e-03,6881,7.34,77.51,-0.06,0.00
"Shrubland","Northern and Central California Dry-Mesic Chaparral","Shrub Cover >= 10 and < 20%","Shrub Height 0.5 to 1.0 meter",184.94,16.64,0.09,11.66,4.97,0.00,1425,129.64,55.30,0.00,0.00
"Wetland","Wetland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",84.81,15.26,0.18,1.98,13.95,-0.66,5876,11.01,77.51,0.00,-3.70
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",62.65,39.47,0.63,6.93,34.08,-1.54,124,11.01,54.09,-2.45,0.00
"Forest","California Lower Montane Foothill Pine Woodland and Savanna","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",493.43,18341.14,37.17,15460.08,2881.06,0.00,1444,415.92,77.51,0.00,0.00
"Forest","California Lower Montane Foothill Pine Woodland and Savanna","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",489.69,749.23,1.53,636.37,112.86,0.00,1241,415.92,73.76,0.00,0.00
"Grassland","Grassland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",81.04,160.47,1.98,14.53,146.05,-0.11,1242,7.34,73.76,-0.06,0.00
"Grassland","Grassland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",84.79,1228.61,14.49,106.35,1123.12,-0.86,306,7.34,77.51,-0.06,0.00
"Grassland","Grassland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",62.58,123.92,1.98,14.53,109.50,-0.11,1686,7.34,55.30,-0.06,0.00
"Forest","California Lower Montane Foothill Pine Woodland and Savanna","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",485.28,567.78,1.17,477.09,90.68,0.00,482,407.77,77.51,0.00,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",139.03,87.58,0.63,39.49,49.34,-1.24,526,62.68,78.31,-1.97,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",52.52,14.18,0.27,2.97,11.87,-0.66,982,11.01,43.96,-2.45,0.00
"Wetland","Wetland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",62.60,11.26,0.18,1.98,9.95,-0.66,3971,11.01,55.30,0.00,-3.70
"Annual Cropland","Annual Cropland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",69.31,37.43,0.54,3.96,34.85,-1.38,487,7.34,64.54,-2.57,0.00
"Forest","California Lower Montane Foothill Pine Woodland and Savanna","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",471.23,4707.64,9.99,4155.13,552.51,0.00,1961,415.92,55.30,0.00,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",122.55,5934.02,48.42,3035.13,2994.26,-95.38,380,62.68,61.83,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",103.87,149.57,1.44,90.26,62.14,-2.83,2083,62.68,43.15,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",122.95,110.66,0.90,56.41,56.01,-1.77,1652,62.68,62.24,-1.97,0.00
"Forest","California Lower Montane Foothill Pine Woodland and Savanna","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",481.54,86.67,0.18,73.39,13.27,0.00,3537,407.77,73.76,0.00,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",103.87,9.34,0.09,5.64,3.88,-0.17,1955,62.68,43.15,-1.97,0.00
"Wetland","Wetland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",62.60,5.63,0.09,0.99,4.97,-0.33,1954,11.01,55.30,0.00,-3.70
"Forest","California Lower Montane Foothill Pine Woodland and Savanna","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",463.08,416.77,0.90,366.99,49.77,0.00,1932,407.77,55.30,0.00,0.00
"Forest","California Lower Montane Foothill Pine Woodland and Savanna","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",471.23,975.45,2.07,860.97,114.48,0.00,1459,415.92,55.30,0.00,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",85.77,15.43,0.18,1.32,14.58,-0.46,2426,7.34,81.00,-2.57,0.00
"Forest","California Lower Montane Foothill Pine Woodland and Savanna","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",516.74,46.50,0.09,37.43,9.07,0.00,2651,415.92,100.81,0.00,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",50.65,36.47,0.72,5.28,33.03,-1.85,4369,7.34,45.88,-2.57,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",45.77,4.11,0.09,0.99,3.34,-0.22,5204,11.01,37.21,-2.45,0.00
"Grassland","Grassland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",62.58,95.75,1.53,11.23,84.61,-0.09,2711,7.34,55.30,-0.06,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",45.77,4.11,0.09,0.99,3.34,-0.22,5209,11.01,37.21,-2.45,0.00
"Wetland","Wetland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",81.06,14.59,0.18,1.98,13.27,-0.66,4263,11.01,73.76,0.00,-3.70
"Grassland","Grassland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",108.09,19.45,0.18,1.32,18.14,-0.01,3835,7.34,100.81,-0.06,0.00
"Wetland","Wetland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",108.11,38.92,0.36,3.96,36.29,-1.33,4328,11.01,100.81,0.00,-3.70
"Forest","California Lower Montane Foothill Pine Woodland and Savanna","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",463.08,208.38,0.45,183.49,24.88,0.00,2518,407.77,55.30,0.00,0.00
"Grassland","Grassland","Shrub Cover >= 10 and < 20%","Shrub Height 1.0 to 3.0 meters",62.58,5.63,0.09,0.66,4.97,-5.39999987930059e-03,1502,7.34,55.30,-0.06,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 10 and < 20%","Shrub Height 1.0 to 3.0 meters",50.65,4.55,0.09,0.66,4.12,-0.23,1708,7.34,45.88,-2.57,0.00
"Irrigated Pasture","Irrigated Pasture","Shrub Cover >= 10 and < 20%","Shrub Height 1.0 to 3.0 meters",52.52,14.18,0.27,2.97,11.87,-0.66,1622,11.01,43.96,-2.45,0.00
"Urban","Western Cool Temperate Developed Ruderal Shrubland","Shrub Cover >= 10 and < 20%","Shrub Height 1.0 to 3.0 meters",106.87,9.61,0.09,2.64,6.97,0.00,1026,29.36,77.51,0.00,0.00
"Urban","Western Cool Temperate Developed Ruderal Shrubland","Shrub Cover >= 10 and < 20%","Shrub Height 1.0 to 3.0 meters",103.12,18.56,0.18,5.28,13.27,0.00,2244,29.36,73.76,0.00,0.00
"Urban","Western Cool Temperate Developed Ruderal Shrubland","Shrub Cover >= 10 and < 20%","Shrub Height 1.0 to 3.0 meters",84.66,114.30,1.35,39.63,74.66,0.00,1479,29.36,55.30,0.00,0.00
"Wetland","Wetland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",81.06,7.29,0.09,0.99,6.63,-0.33,7227,11.01,73.76,0.00,-3.70
"Urban","Developed","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",103.12,83.53,0.81,23.78,59.75,0.00,7223,29.36,73.76,0.00,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",62.58,16.89,0.27,1.98,14.93,-0.01,1824,7.34,55.30,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",81.04,7.29,0.09,0.66,6.63,-5.39999987930059e-03,2414,7.34,73.76,-0.06,0.00
"Grassland","Grassland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",81.04,1101.42,13.59,99.75,1002.49,-0.81,62,7.34,73.76,-0.06,0.00
"Forest","Inter-Mountain Basins Montane Riparian Forest and Woodland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",360.81,64.94,0.18,51.66,13.27,0.00,1381,287.04,73.76,0.00,0.00
"Forest","Inter-Mountain Basins Montane Riparian Forest and Woodland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",336.72,60.61,0.18,50.65,9.95,0.00,871,281.41,55.30,0.00,0.00
"Orchard","Orchard","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",122.95,11.06,0.09,5.64,5.60,-0.17,2165,62.68,62.24,-1.97,0.00
"Grassland","Grassland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",62.58,478.78,7.65,56.15,423.09,-0.45,200,7.34,55.30,-0.06,0.00
"Forest","Inter-Mountain Basins Montane Riparian Forest and Woodland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",336.72,393.96,1.17,329.25,64.70,0.00,237,281.41,55.30,0.00,0.00
"Forest","Inter-Mountain Basins Montane Riparian Forest and Woodland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",355.18,159.83,0.45,126.63,33.19,0.00,252,281.41,73.76,0.00,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",50.65,4.55,0.09,0.66,4.12,-0.23,2315,7.34,45.88,-2.57,0.00
"Forest","Inter-Mountain Basins Montane Riparian Forest and Woodland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",364.55,65.61,0.18,51.66,13.95,0.00,1007,287.04,77.51,0.00,0.00
"Forest","Inter-Mountain Basins Montane Riparian Forest and Woodland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",358.92,419.94,1.17,329.25,90.68,0.00,96,281.41,77.51,0.00,0.00
"Grassland","Grassland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",108.09,1147.96,10.62,77.95,1070.65,-0.63,80,7.34,100.81,-0.06,0.00
"Forest","Inter-Mountain Basins Montane Riparian Forest and Woodland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",342.35,30.81,0.09,25.83,4.97,0.00,955,287.04,55.30,0.00,0.00
"Grassland","Grassland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",62.58,219.68,3.51,25.76,194.12,-0.21,56,7.34,55.30,-0.06,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",62.65,56.39,0.90,9.90,48.68,-2.20,146,11.01,54.09,-2.45,0.00
"Grassland","Grassland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",84.79,12324.28,145.35,1066.86,11266.13,-8.72,29,7.34,77.51,-0.06,0.00
"Forest","Inter-Mountain Basins Montane Riparian Forest and Woodland","Tree Cover >= 10 and < 20%","Forest Height 5 to 10 meters",342.35,154.05,0.45,129.16,24.88,0.00,1371,287.04,55.30,0.00,0.00
"Forest","Inter-Mountain Basins Montane Riparian Forest and Woodland","Tree Cover >= 10 and < 20%","Forest Height 0 to 5 meters",319.68,28.77,0.09,23.79,4.97,0.00,568,264.37,55.30,0.00,0.00
