Landcover_Class,EVT_Nick,EVT_Name,SOC,total_mass,tot_Mass,N2O_emissions,CH4_emissions,gridcode01
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.69,14.82,2,-2.57,0,1900
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,12.5,14.82,2,-2.57,0,2184
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,22.07,14.82,2,-2.57,0,2620
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.58,14.82,2,-2.57,0,796
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,12.5,14.82,2,-2.57,0,2705
Annual Cropland,Annual Cropland,Agriculture-Pasture and Hay,22.07,0,2,-2.57,0,863
Annual Cropland,Annual Cropland,Agriculture-Pasture and Hay,17.58,0,2,-2.57,0,699
Annual Cropland,Annual Cropland,Agriculture-Pasture and Hay,17.69,0,2,-2.57,0,657
Annual Cropland,Annual Cropland,Agriculture-Pasture and Hay,12.5,0,2,-2.57,0,1333
Annual Cropland,Annual Cropland,Agriculture-Pasture and Hay,12.5,0,2,-2.57,0,752
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.58,366.97,2,-2.57,0,1651
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.58,162.83,2,-2.57,0,509
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,22.07,162.83,2,-2.57,0,1949
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.69,162.83,2,-2.57,0,562
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,12.5,162.83,2,-2.57,0,2657
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,12.5,162.83,2,-2.57,0,2025
Annual Cropland,Annual Cropland,California Mesic Chaparral,17.58,152.51,2,-2.57,0,2973
Annual Cropland,Annual Cropland,California Annual Grassland,22.07,14.82,2,-2.57,0,1946
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,14.82,2,-2.57,0,726
Annual Cropland,Annual Cropland,California Annual Grassland,17.69,14.82,2,-2.57,0,2315
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,14.82,2,-2.57,0,776
Annual Cropland,Annual Cropland,California Annual Grassland,17.58,14.82,2,-2.57,0,721
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,11.34,2,-2.57,0,2337
Annual Cropland,Annual Cropland,California Annual Grassland,22.07,11.34,2,-2.57,0,2222
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,11.34,2,-2.57,0,719
Annual Cropland,Annual Cropland,California Annual Grassland,17.69,11.34,2,-2.57,0,1842
Annual Cropland,Annual Cropland,California Annual Grassland,17.58,11.34,2,-2.57,0,398
Annual Cropland,Annual Cropland,California Annual Grassland,17.58,14.82,2,-2.57,0,839
Annual Cropland,Annual Cropland,California Annual Grassland,22.07,14.82,2,-2.57,0,2114
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,14.82,2,-2.57,0,2234
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,14.82,2,-2.57,0,3186
Annual Cropland,Annual Cropland,California Annual Grassland,17.69,14.82,2,-2.57,0,3401
Annual Cropland,Annual Cropland,California Annual Grassland,17.58,11.34,2,-2.57,0,265
Annual Cropland,Annual Cropland,California Annual Grassland,22.07,11.34,2,-2.57,0,2218
Annual Cropland,Annual Cropland,California Annual Grassland,17.69,11.34,2,-2.57,0,2215
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,11.34,2,-2.57,0,718
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,11.34,2,-2.57,0,1595
Annual Cropland,Annual Cropland,California Mesic Chaparral,12.5,152.51,2,-2.57,0,1969
Annual Cropland,Annual Cropland,California Mesic Chaparral,17.69,152.51,2,-2.57,0,1856
Annual Cropland,Annual Cropland,California Mesic Chaparral,17.58,152.51,2,-2.57,0,577
Annual Cropland,Annual Cropland,California Mesic Chaparral,22.07,152.51,2,-2.57,0,2352
Annual Cropland,Annual Cropland,California Annual Grassland,17.58,19.66,2,-2.57,0,231
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,19.66,2,-2.57,0,2355
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,19.66,2,-2.57,0,2178
Annual Cropland,Annual Cropland,California Annual Grassland,22.07,19.66,2,-2.57,0,3058
Annual Cropland,Annual Cropland,California Annual Grassland,17.69,19.66,2,-2.57,0,3875
Annual Cropland,Annual Cropland,North Pacific Montane Grassland,12.5,11.34,2,-2.57,0,2449
Annual Cropland,Annual Cropland,California Mesic Chaparral,17.69,152.51,2,-2.57,0,1402
Annual Cropland,Annual Cropland,California Mesic Chaparral,17.58,152.51,2,-2.57,0,1600
Annual Cropland,Annual Cropland,California Mesic Chaparral,12.5,152.51,2,-2.57,0,1360
Annual Cropland,Annual Cropland,California Mesic Chaparral,12.5,152.51,2,-2.57,0,2772
Annual Cropland,Annual Cropland,California Mesic Chaparral,17.58,152.51,2,-2.57,0,782
Annual Cropland,Annual Cropland,California Mesic Chaparral,17.69,152.51,2,-2.57,0,1828
Annual Cropland,Annual Cropland,California Mesic Chaparral,22.07,152.51,2,-2.57,0,1983
Annual Cropland,Annual Cropland,California Mesic Chaparral,12.5,152.51,2,-2.57,0,2246
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,12.5,14.82,2,-2.57,0,1789
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,22.07,14.82,2,-2.57,0,2174
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.58,14.82,2,-2.57,0,542
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,12.5,14.82,2,-2.57,0,2651
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.69,14.82,2,-2.57,0,514
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,22.07,11.34,2,-2.57,0,1783
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.69,11.34,2,-2.57,0,1481
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,12.5,11.34,2,-2.57,0,1247
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.58,11.34,2,-2.57,0,529
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,12.5,11.34,2,-2.57,0,1962
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,12.5,19.66,2,-2.57,0,1963
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,22.07,19.66,2,-2.57,0,2026
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.69,19.66,2,-2.57,0,554
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,12.5,19.66,2,-2.57,0,2083
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.58,19.66,2,-2.57,0,522
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.58,281.6,2,-2.57,0,381
Annual Cropland,Annual Cropland,California Montane Riparian Systems,12.5,281.6,2,-2.57,0,1238
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.69,281.6,2,-2.57,0,1849
Annual Cropland,Annual Cropland,California Montane Riparian Systems,22.07,281.6,2,-2.57,0,2978
Annual Cropland,Annual Cropland,California Annual Grassland,17.58,14.82,2,-2.57,0,2256
Annual Cropland,Annual Cropland,California Annual Grassland,22.07,14.82,2,-2.57,0,3549
Annual Cropland,Annual Cropland,California Annual Grassland,17.69,14.82,2,-2.57,0,3859
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,14.82,2,-2.57,0,3188
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,22.07,11.34,2,-2.57,0,2046
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.58,11.34,2,-2.57,0,753
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,12.5,11.34,2,-2.57,0,725
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.69,11.34,2,-2.57,0,561
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,12.5,11.34,2,-2.57,0,2762
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,22.07,14.82,2,-2.57,0,2706
Annual Cropland,Annual Cropland,Pacific Coastal Marsh Systems,22.07,14.82,2,-2.57,0,2638
Annual Cropland,Annual Cropland,NASS-Row Crop,12.5,0,2,-2.57,0,1349
Annual Cropland,Annual Cropland,NASS-Row Crop,12.5,0,2,-2.57,0,1391
Annual Cropland,Annual Cropland,NASS-Row Crop,17.58,0,2,-2.57,0,1272
Annual Cropland,Annual Cropland,NASS-Row Crop,12.5,0,2,-2.57,0,828
Annual Cropland,Annual Cropland,NASS-Row Crop,22.07,0,2,-2.57,0,1461
Annual Cropland,Annual Cropland,NASS-Row Crop,12.5,0,2,-2.57,0,1069
Annual Cropland,Annual Cropland,NASS-Row Crop,17.58,0,2,-2.57,0,340
Annual Cropland,Annual Cropland,NASS-Row Crop,17.69,0,2,-2.57,0,1063
Annual Cropland,Annual Cropland,NASS-Row Crop,22.07,0,2,-2.57,0,1510
Annual Cropland,Annual Cropland,NASS-Row Crop,17.69,0,2,-2.57,0,1244
Annual Cropland,Annual Cropland,California Mesic Chaparral,17.69,152.51,2,-2.57,0,1363
Annual Cropland,Annual Cropland,California Mesic Chaparral,17.58,152.51,2,-2.57,0,1635
Annual Cropland,Annual Cropland,California Mesic Chaparral,12.5,152.51,2,-2.57,0,1364
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,12.5,19.66,2,-2.57,0,2640
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.58,19.66,2,-2.57,0,1390
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.69,19.66,2,-2.57,0,2213
Annual Cropland,Annual Cropland,California Montane Riparian Systems,12.5,258.47,2,-2.57,0,2373
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.69,258.47,2,-2.57,0,1853
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.58,258.47,2,-2.57,0,1197
Annual Cropland,Annual Cropland,California Montane Riparian Systems,22.07,258.47,2,-2.57,0,2069
Annual Cropland,Annual Cropland,California Montane Riparian Systems,12.5,184.49,2,-2.57,0,2374
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.69,184.49,2,-2.57,0,1899
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.58,184.49,2,-2.57,0,1862
Annual Cropland,Annual Cropland,California Montane Riparian Systems,22.07,184.49,2,-2.57,0,2067
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.69,198.33,2,-2.57,0,1852
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.58,198.33,2,-2.57,0,680
Annual Cropland,Annual Cropland,California Montane Riparian Systems,22.07,198.33,2,-2.57,0,2066
Annual Cropland,Annual Cropland,California Montane Riparian Systems,12.5,198.33,2,-2.57,0,1964
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,22.07,162.83,2,-2.57,0,1450
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.58,162.83,2,-2.57,0,233
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,12.5,162.83,2,-2.57,0,777
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,12.5,162.83,2,-2.57,0,1059
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.69,162.83,2,-2.57,0,515
Annual Cropland,Annual Cropland,California Montane Riparian Systems,12.5,234.44,2,-2.57,0,2298
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.58,234.44,2,-2.57,0,3192
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,22.07,251.02,2,-2.57,0,1454
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,17.69,251.02,2,-2.57,0,1929
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,12.5,251.02,2,-2.57,0,2901
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,17.58,251.02,2,-2.57,0,1885
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,22.07,222.22,2,-2.57,0,2200
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,17.58,222.22,2,-2.57,0,800
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,17.69,222.22,2,-2.57,0,705
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,12.5,222.22,2,-2.57,0,2228
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,17.58,284.24,2,-2.57,0,1652
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,17.69,266.22,2,-2.57,0,1412
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,12.5,266.22,2,-2.57,0,1376
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,12.5,266.22,2,-2.57,0,961
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,12.5,231.39,2,-2.57,0,1350
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,17.69,231.39,2,-2.57,0,1401
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,12.5,307.1,2,-2.57,0,1389
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,17.58,194.57,2,-2.57,0,910
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,12.5,194.57,2,-2.57,0,1422
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,17.58,153.36,2,-2.57,0,314
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,17.58,170.88,2,-2.57,0,324
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,17.69,170.88,2,-2.57,0,1399
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,12.5,170.88,2,-2.57,0,1375
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,17.58,197.84,2,-2.57,0,344
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,12.5,197.84,2,-2.57,0,1596
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,12.5,197.84,2,-2.57,0,1253
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,22.07,197.84,2,-2.57,0,1469
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,17.69,197.84,2,-2.57,0,552
Annual Cropland,Annual Cropland,NASS-Close Grown Crop,12.5,0,2,-2.57,0,1204
Annual Cropland,Annual Cropland,NASS-Close Grown Crop,22.07,0,2,-2.57,0,836
Annual Cropland,Annual Cropland,NASS-Close Grown Crop,12.5,0,2,-2.57,0,1609
Annual Cropland,Annual Cropland,NASS-Close Grown Crop,17.69,0,2,-2.57,0,516
Annual Cropland,Annual Cropland,NASS-Close Grown Crop,22.07,0,2,-2.57,0,1082
Annual Cropland,Annual Cropland,NASS-Close Grown Crop,17.58,0,2,-2.57,0,399
Annual Cropland,Annual Cropland,NASS-Close Grown Crop,12.5,0,2,-2.57,0,1436
Annual Cropland,Annual Cropland,NASS-Close Grown Crop,17.58,0,2,-2.57,0,463
Annual Cropland,Annual Cropland,NASS-Close Grown Crop,12.5,0,2,-2.57,0,845
Annual Cropland,Annual Cropland,NASS-Close Grown Crop,17.69,0,2,-2.57,0,486
Annual Cropland,Annual Cropland,California Montane Woodland and Chaparral,17.58,186.96,2,-2.57,0,3576
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,12.5,202.59,2,-2.57,0,1362
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Systems,17.69,202.59,2,-2.57,0,1397
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,22.07,162.83,2,-2.57,0,2223
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,12.5,162.83,2,-2.57,0,1222
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.69,162.83,2,-2.57,0,579
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.58,162.83,2,-2.57,0,578
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,17.58,177.9,2,-2.57,0,403
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,22.07,177.9,2,-2.57,0,1441
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,12.5,177.9,2,-2.57,0,1332
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,17.69,177.9,2,-2.57,0,546
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,12.5,177.9,2,-2.57,0,959
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,22.07,162.36,2,-2.57,0,1663
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,12.5,162.36,2,-2.57,0,1373
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,17.69,162.36,2,-2.57,0,1653
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,12.5,162.36,2,-2.57,0,770
Annual Cropland,Annual Cropland,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,17.58,162.36,2,-2.57,0,219
