,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,accesstype,unitname,AGNCY_NAME,pointid,near_cpad
71,71,71,71,Open Access,Carolo Gabriault Park,"Merced, City of",1745071,3358.27328526
72,72,72,72,Open Access,Carolo Gabriault Park,"Merced, City of",1745072,3328.58742239
73,73,73,73,Open Access,Carolo Gabriault Park,"Merced, City of",1745073,3298.90724309
74,74,74,74,Open Access,Carolo Gabriault Park,"Merced, City of",1745074,3269.23290215
75,75,75,75,Open Access,Carolo Gabriault Park,"Merced, City of",1745075,3239.56456001
76,76,76,76,Open Access,Carolo Gabriault Park,"Merced, City of",1745076,3209.90238301
77,77,77,77,Open Access,Carolo Gabriault Park,"Merced, City of",1745077,3180.24654366
78,78,78,78,Open Access,Carolo Gabriault Park,"Merced, City of",1745078,3150.59722092
79,79,79,79,Open Access,Carolo Gabriault Park,"Merced, City of",1745079,3120.95460052
80,80,80,80,Open Access,Carolo Gabriault Park,"Merced, City of",1745080,3091.31887525
81,81,81,81,Open Access,Carolo Gabriault Park,"Merced, City of",1745081,3061.69024535
82,82,82,82,Open Access,Carolo Gabriault Park,"Merced, City of",1745082,3032.06891882
83,83,83,83,Open Access,Carolo Gabriault Park,"Merced, City of",1745083,3002.45511182
84,84,84,84,Open Access,Carolo Gabriault Park,"Merced, City of",1745084,2972.84904906
85,85,85,85,Open Access,Carolo Gabriault Park,"Merced, City of",1745085,2943.25096424
86,86,86,86,Open Access,Carolo Gabriault Park,"Merced, City of",1745086,2913.66110049
87,87,87,87,Open Access,Carolo Gabriault Park,"Merced, City of",1745087,2884.07971084
88,88,88,88,Open Access,Carolo Gabriault Park,"Merced, City of",1745088,2854.50705876
89,89,89,89,Open Access,Carolo Gabriault Park,"Merced, City of",1745089,2824.94341863
90,90,90,90,Open Access,Carolo Gabriault Park,"Merced, City of",1745090,2795.38907641
91,91,91,91,Open Access,Carolo Gabriault Park,"Merced, City of",1745091,2765.84433013
92,92,92,92,Open Access,Carolo Gabriault Park,"Merced, City of",1745092,2736.30949063
93,93,93,93,Open Access,Carolo Gabriault Park,"Merced, City of",1745093,2706.7848821999996
94,94,94,94,Open Access,Carolo Gabriault Park,"Merced, City of",1745094,2677.27084332
95,95,95,95,Open Access,Carolo Gabriault Park,"Merced, City of",1745095,2647.76772744
96,96,96,96,Open Access,Carolo Gabriault Park,"Merced, City of",1745096,2618.27590381
97,97,97,97,Open Access,Carolo Gabriault Park,"Merced, City of",1745097,2588.79575836
98,98,98,98,Open Access,Carolo Gabriault Park,"Merced, City of",1745098,2559.32769463
99,99,99,99,Open Access,Carolo Gabriault Park,"Merced, City of",1745099,2529.87213481
100,100,100,100,Open Access,Carolo Gabriault Park,"Merced, City of",1745100,2500.4295208
101,101,101,101,Open Access,Carolo Gabriault Park,"Merced, City of",1745101,2471.00031536
102,102,102,102,Open Access,Carolo Gabriault Park,"Merced, City of",1745102,2441.58500333
103,103,103,103,Open Access,Carolo Gabriault Park,"Merced, City of",1745103,2412.18409299
104,104,104,104,Open Access,Carolo Gabriault Park,"Merced, City of",1745104,2382.79811744
105,105,105,105,Open Access,Carolo Gabriault Park,"Merced, City of",1745105,2353.42763613
106,106,106,106,Open Access,Carolo Gabriault Park,"Merced, City of",1745106,2324.07323647
107,107,107,107,Open Access,Carolo Gabriault Park,"Merced, City of",1745107,2294.73553563
108,108,108,108,Open Access,Carolo Gabriault Park,"Merced, City of",1745108,2265.41518236
109,109,109,109,Open Access,Carolo Gabriault Park,"Merced, City of",1745109,2236.11285907
110,110,110,110,Open Access,Carolo Gabriault Park,"Merced, City of",1745110,2206.82928395
