CUSTOMCODE,LC2030MOD,evt_nick_mod,evt_name_mod,ipcc_soil_mod,soc_mod,total_mass_mod,tot_mass_mod,n20_em_mod,ch4_em_mod,gridcode14
5,Urban,Urban,California Central Valley Mixed Oak Savanna,LAC,36.18,303.12,14.4,0,0,5746
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,Sandy,27.126,303.12,151.56,0,0,3431
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,Wetland,38.412,303.12,30.744,-3.546,0,4108
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,Sandy,27.126,309.1824,154.5912,0,0,3441
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,LAC,36.18,309.1824,154.5912,0,0,3553
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,LAC,30.528,303.12,30.744,-3.546,0,751
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,NA,27.126,303.12,3.6,-0.107982,0,3451
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,Sandy,27.126,303.12,3.6,-0.107982,0,704
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,Wetland,39.731292,303.12,3.6,-4.626,0,4046
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,HAC,31.657374,303.12,3.6,-4.626,0,545
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,HAC,38.016,303.12,3.6,-0.107982,0,688
