CUSTOMCODE,LC2030MOD,evt_nick_mod,evt_name_mod,ipcc_soil_mod,soc_mod,total_mass_mod,tot_mass_mod,n20_em_mod,ch4_em_mod,gridcode14
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,LAC,36.18,446.112,3.6,-0.107982,0,3201
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,Wetland,38.412,446.112,30.744,-3.546,0,3750
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,NA,27.126,354.078,3.6,-0.107982,0,6644
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,NA,22.504536,354.078,3.6,-4.626,0,4162
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,HAC,38.016,354.078,177.039,0,0,556
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,Sandy,22.504536,354.078,3.6,-4.626,0,3485
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,HAC,38.016,361.15956,180.57978,0,0,641
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,LAC,30.528,354.078,30.744,-3.546,0,864
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,NA,27.126,354.078,5.4,0,-6.6735,3615
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,HAC,38.016,354.078,3.6,-0.107982,0,593
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,HAC,38.016,354.078,5.4,0,-6.6735,4084
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,HAC,30.33,354.078,30.744,-3.546,0,479
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,HAC,31.657374,354.078,3.6,-4.626,0,2289
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,NA,21.168,354.078,30.744,-3.546,0,3561
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,Wetland,38.412,354.078,30.744,-3.546,0,604
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,Wetland,49.446,354.078,3.6,-0.107982,0,3419
