OID_,AREA_HA,CUSTOMCODE,LANDCOVER_,EVT_NICK,EVT_NAME,IPCC_SOIL,SOC,TOTAL_MASS,TOT_MASS,N2O_EMISSI,CH4_EMISSI,gridcode14
,8.1,3092,Shrubland,Southern California Coastal Scrub,Southern California Coastal Scrub,HAC,38.016,0,0,0,0,6814
,2.97,3110,Shrubland,Southern California Dry-Mesic Chaparral,Southern California Dry-Mesic Chaparral,HAC,38.016,0,0,0,0,7681
,0.09,10,Rice,Rice,NA,Wetland,39.731292,0,1.8,-0.5148,-7.866,7049
,0.09,2,Grassland,Grassland,Southern California Coastal Scrub,LAC,36.18,0,3.6,-0.107982,0,7344
,10.17,3099,Shrubland,California Xeric Serpentine Chaparral,California Xeric Serpentine Chaparral,HAC,38.016,0,0,0,0,7684
,0.09,5,Urban,Urban,NA,LAC,36.18,0,14.4,0,0,5775
,0.09,5,Urban,Urban,Western Warm Temperate Close Grown Crop,Wetland,49.446,0,14.4,0,0,7055
,2.79,0,Wetland,Wetland,Western Cool Temperate Close Grown Crop,Wetland,49.446,0,5.4,0,-6.6735,5758
,1.35,0,Wetland,Wetland,Western Warm Temperate Wheat,NA,27.126,0,5.4,0,-6.6735,5771
,0.09,10,Rice,Rice,Western Warm Temperate Close Grown Crop,NA,22.504536,0,1.8,-0.5148,-7.866,6803
