OID_,AREA_HA,CUSTOMCODE,LANDCOVER_,EVT_NICK,EVT_NAME,IPCC_SOIL,SOC,TOTAL_MASS,TOT_MASS,N2O_EMISSI,CH4_EMISSI,gridcode14
,0.18,8,Vineyard,Vineyard,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,21.168,479.196,5.22,-1.638,0,2360
,136.08,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,424.83204,212.41602,0,0,243
,0.09,11,Irrigated Pasture,Irrigated Pasture,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,18.252,416.502,5.4,-4.41,0,2305
,6.12,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,416.502,3.6,-0.107982,0,264
,0.09,7,Orchard,Orchard,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,30.528,416.502,30.744,-3.546,0,1869
,0.9,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,NA,27.126,416.502,208.251,0,0,885
,0.81,11,Irrigated Pasture,Irrigated Pasture,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,26.532,416.502,5.4,-4.41,0,131
,1.98,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,NA,27.126,424.83204,212.41602,0,0,985
,2.52,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,38.016,416.502,3.6,-0.107982,0,216
,6.12,9,Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,22.504536,416.502,3.6,-4.626,0,1615
,15.03,7,Orchard,Orchard,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,21.168,416.502,30.744,-3.546,0,1614
,2.61,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,36.18,416.502,3.6,-0.107982,0,646
,0.81,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,36.18,416.502,208.251,0,0,1051
,2.7,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,38.016,424.83204,212.41602,0,0,317
,0.09,4,Urban,Developed,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,416.502,14.4,0,0,2011
,0.09,9,Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,31.855176,416.502,3.6,-4.626,0,1966
,2.61,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,NA,27.126,416.502,3.6,-0.107982,0,565
,4.5,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,36.18,424.83204,212.41602,0,0,287
,1.35,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,38.016,416.502,208.251,0,0,281
,0.72,11,Irrigated Pasture,Irrigated Pasture,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,21.564,416.502,5.4,-4.41,0,1572
,0.18,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Wetland,49.446,424.83204,212.41602,0,0,1640
,8.55,0,Wetland,Wetland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,416.502,5.4,0,-6.6735,1517
,0.09,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Wetland,49.446,416.502,3.6,-0.107982,0,1617
,10.89,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,416.502,208.251,0,0,266
,0.09,2,Grassland,Grassland,California Lower Montane Foothill Pine Woodland and Savanna,LAC,36.18,358.506,3.6,-0.107982,0,7081
,0.36,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,38.016,649.99908,324.99954,0,0,1028
,0.18,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,36.18,637.254,318.627,0,0,1630
,0.27,11,Irrigated Pasture,Irrigated Pasture,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,21.564,637.254,5.4,-4.41,0,1571
,1.08,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,NA,27.126,637.254,318.627,0,0,1923
,0.09,11,Irrigated Pasture,Irrigated Pasture,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,26.532,637.254,5.4,-4.41,0,1543
,0.18,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,38.016,637.254,3.6,-0.107982,0,548
,13.86,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,649.99908,324.99954,0,0,1472
,0.36,7,Orchard,Orchard,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,30.528,637.254,30.744,-3.546,0,2195
,1.35,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,36.18,649.99908,324.99954,0,0,1421
,2.07,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,NA,27.126,649.99908,324.99954,0,0,1906
,0.18,9,Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,22.504536,637.254,3.6,-4.626,0,1710
,2.34,7,Orchard,Orchard,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,21.168,637.254,30.744,-3.546,0,1707
,0.54,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,38.016,637.254,318.627,0,0,1024
,0.36,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,637.254,3.6,-0.107982,0,1978
